employee_id,other_names,last_name,age,position,date_joined,phone_number,gender,employee_status,department_code,email_address
1,Hiroshi Noah Andres,Okafor,25,Analyst,2023-06-04,233204093210,Male,Inactive,FIN,Hiroshi.Noah.Andres.Okafor@roblox.com
2,Noah Omar,Okafor,44,Executive,2018-01-13,233487114359,Male,On Leave,OPS,Noah.Omar.Okafor@roblox.com
3,Ava,Lopez,51,Developer,2015-04-30,233331043333,Female,On Leave,DAT,Ava.Lopez@roblox.com
4,Samuel Kofi,Badu,47,Analyst,2015-06-17,233292366377,Male,Active,ENG,Samuel.Kofi.Badu@roblox.com
5,Sebastian,Hassan,32,Consultant,2019-02-22,233326844344,Male,On Leave,FIN,Sebastian.Hassan@roblox.com
6,Aisha Ava,Lee,35,Executive,2018-09-29,233418476858,Female,Inactive,OPS,Aisha.Ava.Lee@roblox.com
7,Kofi Noah,Dubois,48,Assistant,2021-08-24,233362799898,Male,Active,PRD,Kofi.Noah.Dubois@roblox.com
8,Sophia,Khan,45,Manager,2021-01-08,233365289887,Female,Active,CST,Sophia.Khan@roblox.com
9,Sakura Ava Ananya,Rossi,40,Developer,2018-12-20,233304677706,Female,On Leave,ENG,Sakura.Ava.Ananya.Rossi@roblox.com
10,Kwame Omar,Johnson,40,Manager,2018-05-18,233296598231,Male,Inactive,CST,Kwame.Omar.Johnson@roblox.com
11,Chiamaka Victoria Hannah,Rossi,24,Analyst,2024-08-22,233538627505,Female,Active,FIN,Chiamaka.Victoria.Hannah.Rossi@roblox.com
12,Michael Jean,Martinez,25,Consultant,2016-11-20,233340963788,Male,Inactive,CST,Michael.Jean.Martinez@roblox.com
13,Alexander Yaw Yusuf,Mensah,45,Assistant,2024-07-03,233220237632,Male,Active,FIN,Alexander.Yaw.Yusuf.Mensah@roblox.com
14,Lina,Osei,34,Executive,2017-11-12,233497873341,Female,Inactive,DAT,Lina.Osei@roblox.com
15,Yaw,Boateng,47,Assistant,2021-09-07,233408767419,Male,Active,OPS,Yaw.Boateng@roblox.com
16,Jean David,Williams,42,Consultant,2021-10-11,233215253689,Male,Active,PRD,Jean.David.Williams@roblox.com
17,Arjun,Campbell,42,Assistant,2016-08-10,233599974292,Male,Inactive,PRD,Arjun.Campbell@roblox.com
18,Adwoa,Adjei,44,Consultant,2017-02-20,233392599721,Female,Inactive,ENG,Adwoa.Adjei@roblox.com
19,Sebastian Hiroshi Ethan,Kim,39,Consultant,2021-12-04,233594851227,Male,Active,PRD,Sebastian.Hiroshi.Ethan.Kim@roblox.com
20,Aisha Sofia Ama,Brown,55,Analyst,2021-03-01,233493898842,Female,On Leave,CST,Aisha.Sofia.Ama.Brown@roblox.com
21,Carlos Isaac Michael,Hassan,49,Consultant,2022-08-24,233262753332,Male,Inactive,HR,Carlos.Isaac.Michael.Hassan@roblox.com
22,Alexander Andres Luca,Martinez,50,Consultant,2021-10-25,233384383272,Male,Active,HR,Alexander.Andres.Luca.Martinez@roblox.com
23,Zara Zara,Boateng,60,Consultant,2018-11-09,233599338044,Female,On Leave,CST,Zara.Zara.Boateng@roblox.com
24,Jean Liam David,Brown,39,Developer,2022-04-16,233275281601,Male,On Leave,FIN,Jean.Liam.David.Brown@roblox.com
25,Alexander Mohammed,Johnson,50,Consultant,2021-01-09,233390965594,Male,Active,DAT,Alexander.Mohammed.Johnson@roblox.com
26,Akosua Abena,Owusu,25,Assistant,2015-04-25,233229478513,Female,On Leave,HR,Akosua.Abena.Owusu@roblox.com
27,Noah,Silva,42,Assistant,2024-05-12,233562372249,Male,Active,ENG,Noah.Silva@roblox.com
28,Grace Mia,Badu,23,Manager,2024-07-21,233423838606,Female,Inactive,ENG,Grace.Mia.Badu@roblox.com
29,Grace,Taylor,50,Consultant,2016-11-04,233381706311,Female,Inactive,CST,Grace.Taylor@roblox.com
30,Fatima Hannah,Mensah,52,Manager,2022-08-03,233468066196,Female,Inactive,FIN,Fatima.Hannah.Mensah@roblox.com
31,Lina Sophia,Badu,26,Developer,2017-08-27,233408913554,Female,Active,FIN,Lina.Sophia.Badu@roblox.com
32,Olivia Fatima Ananya,Silva,55,Developer,2017-11-23,233327166384,Female,Active,ENG,Olivia.Fatima.Ananya.Silva@roblox.com
33,David Arjun,Johnson,22,Manager,2021-01-28,233551253990,Male,Inactive,FIN,David.Arjun.Johnson@roblox.com
34,Daniel,Khan,52,Consultant,2015-09-14,233355829179,Male,Active,ENG,Daniel.Khan@roblox.com
35,Charlotte,Lopez,53,Executive,2022-01-01,233486652468,Female,Active,FIN,Charlotte.Lopez@roblox.com
36,Liam Yusuf Alexander,Owusu,33,Analyst,2015-10-02,233306143810,Male,Active,MKT,Liam.Yusuf.Alexander.Owusu@roblox.com
37,Grace,Anderson,36,Consultant,2025-01-06,233201274568,Female,Inactive,DAT,Grace.Anderson@roblox.com
