finance_id ,basic_salary,tax_id,account_number,staff_id,allowances,bank_name
FIN-1000,8511,GHA-4755039712-0,857834499249,1,522,Access Bank Ghana
FIN-1001,9827,GHA-4977496051-0,5676520191,2,1866,Republic Bank Ghana
FIN-1002,12287,GHA-2566803594-0,6759622918,3,2587,Fidelity Bank Ghana
FIN-1003,14918,GHA-2746366492-9,89459171681,4,2644,Stanbic Bank Ghana
FIN-1004,9401,GHA-5527756919-9,807827927382,5,2287,Access Bank Ghana
FIN-1005,3466,GHA-1206259407-4,5621596715547,6,2379,Republic Bank Ghana
FIN-1006,12133,GHA-4775260983-8,20568343504,7,322,Access Bank Ghana
FIN-1007,11473,GHA-1722346835-6,96325521515,8,2613,UBA Ghana
FIN-1008,10884,GHA-3821157728-7,97156463780,9,1540,Fidelity Bank Ghana
FIN-1009,8585,GHA-9901153350-5,2462613607,10,2108,Access Bank Ghana
FIN-1010,13112,GHA-2937008618-4,7786762713265,11,2287,Stanbic Bank Ghana
FIN-1011,2833,GHA-8994906160-1,4926043796,12,2061,Fidelity Bank Ghana
FIN-1012,7366,GHA-2576748152-3,445161270241,13,838,Stanbic Bank Ghana
FIN-1013,14959,GHA-7754979862-1,44564508816,14,2421,Absa Bank Ghana
FIN-1014,4537,GHA-7626717718-1,17154956772,15,2714,Ecobank Ghana
FIN-1015,3808,GHA-0992658157-3,31396831052,16,849,First Atlantic Bank
FIN-1016,7146,GHA-4778942672-8,682223897598,17,1480,First Atlantic Bank
FIN-1017,6146,GHA-2879064801-5,8395536877586,18,2510,Stanbic Bank Ghana
FIN-1018,4809,GHA-6436653986-7,46380783348,19,2701,Fidelity Bank Ghana
FIN-1019,14172,GHA-4679260375-0,58228482877,20,600,Ecobank Ghana
FIN-1020,12314,GHA-3205502841-4,5420339018,21,485,GCB Bank
FIN-1021,2977,GHA-1257455711-3,1091220051,22,2580,Absa Bank Ghana
FIN-1022,12555,GHA-5168736953-0,872170941382,23,1031,Absa Bank Ghana
FIN-1023,3155,GHA-3112812425-8,90268908530,24,2986,Fidelity Bank Ghana
FIN-1024,10135,GHA-0715823118-1,8958669301,25,1792,Absa Bank Ghana
FIN-1025,8990,GHA-3147839318-3,2873895335965,26,1603,Absa Bank Ghana
FIN-1026,12475,GHA-0463956650-2,1714477499,27,2760,Access Bank Ghana
FIN-1027,14552,GHA-0546315833-2,97631119403,28,314,Access Bank Ghana
FIN-1028,3415,GHA-5164703609-1,38521239206,29,1968,Republic Bank Ghana
FIN-1029,2774,GHA-8907612860-4,518394905040,30,915,Stanbic Bank Ghana
FIN-1030,7029,GHA-2694201318-4,4577590736437,31,1862,Fidelity Bank Ghana
FIN-1031,13741,GHA-7166676903-2,430155975954,32,2293,GCB Bank
FIN-1032,5947,GHA-5821869443-2,47029448286,33,2743,CalBank
FIN-1033,11191,GHA-7063092471-5,84780028246,34,2831,UBA Ghana
FIN-1034,3005,GHA-0414272519-0,8095562224272,35,1677,CalBank
FIN-1035,8803,GHA-0086711750-4,075283089917,36,2441,First Atlantic Bank
FIN-1036,5704,GHA-7964527012-5,30286762032,37,1843,GCB Bank
FIN-1037,10104,GHA-2820748562-0,099512046990,38,2776,Ecobank Ghana
FIN-1038,12220,GHA-6732414453-8,687237597297,39,1796,First Atlantic Bank
FIN-1039,9457,GHA-8687729651-8,05425859973,40,528,Fidelity Bank Ghana
FIN-1040,2714,GHA-9682093384-9,5384202023,41,2666,Absa Bank Ghana
FIN-1041,12404,GHA-9561723900-2,99774343317,42,2507,Access Bank Ghana
FIN-1042,3087,GHA-8875770879-8,320987082484,43,1658,Fidelity Bank Ghana
FIN-1043,7840,GHA-8132693326-0,64301056386,44,782,Access Bank Ghana
FIN-1044,12905,GHA-5874465731-1,5762060783,45,2970,Absa Bank Ghana
FIN-1045,11403,GHA-8044385721-8,4571381819,46,1203,First Atlantic Bank
FIN-1046,13639,GHA-6205542714-1,028756750499,47,1294,CalBank
FIN-1047,6831,GHA-7542484953-1,4062945257,48,444,Republic Bank Ghana
FIN-1048,12209,GHA-2827384819-0,429298092525,49,1123,UBA Ghana
FIN-1049,9899,GHA-3119882281-0,4524665461624,50,2668,Access Bank Ghana
FIN-1050,7969,GHA-8821889199-4,9486697679767,51,2244,Republic Bank Ghana
FIN-1051,4362,GHA-0344328936-8,4312236631362,52,1956,Access Bank Ghana
FIN-1052,8694,GHA-8253208777-5,808693465406,53,2299,CalBank
FIN-1053,13758,GHA-3061817155-8,0540248227,54,2766,Republic Bank Ghana
FIN-1054,12771,GHA-0942912524-8,15199752218,55,1311,Ecobank Ghana
FIN-1055,11189,GHA-6465925478-8,9919330403320,56,1454,UBA Ghana
FIN-1056,7548,GHA-6753203460-6,2949629713425,57,419,Republic Bank Ghana
FIN-1057,8906,GHA-1366749497-8,0575668521,58,469,Absa Bank Ghana
FIN-1058,5731,GHA-8838414152-5,34044800149,59,1550,Absa Bank Ghana
FIN-1059,14260,GHA-0389785349-7,58979535423,60,2277,CalBank
FIN-1060,3794,GHA-8388712884-2,642774567085,61,2777,Ecobank Ghana
FIN-1061,13596,GHA-4732412099-8,148044623155,62,1347,Access Bank Ghana
FIN-1062,5533,GHA-9892799937-6,72677657310,63,1447,Absa Bank Ghana
FIN-1063,7205,GHA-1732514433-4,913523719159,64,753,First Atlantic Bank
FIN-1064,13624,GHA-4353743818-9,89122036169,65,1106,CalBank
FIN-1065,6266,GHA-3052180788-4,94657271735,66,2264,Fidelity Bank Ghana
FIN-1066,6873,GHA-3429100304-6,0509217065,67,2133,Absa Bank Ghana
FIN-1067,10771,GHA-0568031986-1,8493087164,68,1323,UBA Ghana
FIN-1068,2983,GHA-6671999883-7,8476416208174,69,1196,CalBank
FIN-1069,9099,GHA-1159738887-7,502506480493,70,435,Ecobank Ghana
FIN-1070,4754,GHA-9974999539-8,15752873200,71,2838,Stanbic Bank Ghana
FIN-1071,4118,GHA-6081609079-3,7694972748295,72,1676,Ecobank Ghana
FIN-1072,9161,GHA-9559428058-6,92083045063,73,2273,GCB Bank
FIN-1073,8808,GHA-4480153206-8,2456308195,74,576,Republic Bank Ghana
FIN-1074,14936,GHA-7757711168-0,0172708628,75,2919,Stanbic Bank Ghana
FIN-1075,5068,GHA-9403820340-1,6303173285576,76,587,Access Bank Ghana
FIN-1076,6911,GHA-8862240571-6,2068491775442,77,1090,Stanbic Bank Ghana
FIN-1077,7712,GHA-2315587992-2,958808786413,78,330,First Atlantic Bank
FIN-1078,9366,GHA-6181764302-4,36312437294,79,1341,Absa Bank Ghana
FIN-1079,6428,GHA-2188559749-9,8199862783627,80,1796,Fidelity Bank Ghana
FIN-1080,5931,GHA-6488887319-3,148753978878,81,2774,Access Bank Ghana
FIN-1081,14255,GHA-4152780199-8,0801359667705,82,1278,Access Bank Ghana
FIN-1082,8209,GHA-9451671883-5,6035084196,83,1836,Access Bank Ghana
FIN-1083,13647,GHA-7731355218-4,547463992169,84,1260,Access Bank Ghana
FIN-1084,9541,GHA-8466884924-3,3708024796,85,2767,Access Bank Ghana
FIN-1085,3470,GHA-0407787116-0,870110448460,86,1003,Ecobank Ghana
FIN-1086,10997,GHA-3096254859-7,0711734686892,87,2433,Fidelity Bank Ghana
FIN-1087,6089,GHA-7877796599-0,20824883331,88,1378,Access Bank Ghana
FIN-1088,6832,GHA-5346776069-8,7105591833,89,989,Stanbic Bank Ghana
FIN-1089,7736,GHA-7880930822-0,940985726109,90,2827,Stanbic Bank Ghana
FIN-1090,13811,GHA-1326082295-3,0978118965,91,1697,Republic Bank Ghana
FIN-1091,14860,GHA-7184737193-6,2490036043624,92,2503,Ecobank Ghana
FIN-1092,9776,GHA-5536596559-8,4985163969,93,1849,Fidelity Bank Ghana
FIN-1093,8739,GHA-0999632081-4,5975719347698,94,2309,Access Bank Ghana
FIN-1094,13282,GHA-2838173688-2,24343701008,95,2359,Republic Bank Ghana
FIN-1095,7528,GHA-7487683117-8,5173498025741,96,1128,CalBank
FIN-1096,5916,GHA-7644849011-2,2890490809,97,2444,Access Bank Ghana
FIN-1097,12434,GHA-5416499105-7,773591658069,98,2888,UBA Ghana
FIN-1098,9965,GHA-9469967186-3,4881631521962,99,2463,Republic Bank Ghana
FIN-1099,4531,GHA-4793946991-4,58543539886,100,1464,Access Bank Ghana
FIN-1100,3152,GHA-6198565323-1,1946165080,101,1664,Access Bank Ghana
FIN-1101,4892,GHA-6028260205-7,2577619957,102,2523,Republic Bank Ghana
FIN-1102,10793,GHA-5141036234-7,3391280815,103,1464,CalBank
FIN-1103,9652,GHA-2284032187-2,2317097181,104,2217,First Atlantic Bank
FIN-1104,11628,GHA-5603486821-8,4101177759971,105,2918,First Atlantic Bank
FIN-1105,4363,GHA-1508096436-3,5724935867,106,2210,GCB Bank
FIN-1106,13325,GHA-4169664128-0,93158470744,107,1327,Access Bank Ghana
FIN-1107,9908,GHA-0791463711-6,02179201004,108,763,Absa Bank Ghana
FIN-1108,7770,GHA-1121449634-9,54960125948,109,2190,GCB Bank
FIN-1109,11418,GHA-5844889952-5,3052065509,110,2953,GCB Bank
FIN-1110,14927,GHA-0791248289-8,0551369405,111,1734,First Atlantic Bank
FIN-1111,9261,GHA-1096991028-1,8698321018208,112,2695,Absa Bank Ghana
FIN-1112,8953,GHA-3431836679-8,67560165734,113,2653,First Atlantic Bank
FIN-1113,7653,GHA-5529072421-5,7866659843,114,1766,Republic Bank Ghana
FIN-1114,11355,GHA-6298151897-7,9423906937825,115,2919,GCB Bank
FIN-1115,12764,GHA-7570225298-4,663809167804,116,2946,Ecobank Ghana
FIN-1116,12061,GHA-8189875644-2,8968783834838,117,2433,GCB Bank
FIN-1117,7548,GHA-3311164372-4,9175299984,118,608,Fidelity Bank Ghana
FIN-1118,6791,GHA-5691559269-8,9595566963559,119,624,Stanbic Bank Ghana
FIN-1119,4225,GHA-7089131714-7,830013068716,120,2753,CalBank
FIN-1120,11954,GHA-2049669182-1,54410072786,121,1900,First Atlantic Bank
FIN-1121,4056,GHA-5623327117-0,6501539953,122,2442,Ecobank Ghana
FIN-1122,13324,GHA-3636679611-5,105382717335,123,1603,Absa Bank Ghana
FIN-1123,13641,GHA-9533115631-6,2863312106888,124,745,GCB Bank
FIN-1124,5030,GHA-1945718632-4,864568285522,125,458,Access Bank Ghana
FIN-1125,11017,GHA-7321417409-4,1636021414,126,1760,Access Bank Ghana
FIN-1126,9069,GHA-5555066878-2,6376566337,127,1855,GCB Bank
FIN-1127,7182,GHA-5912141427-1,864898523146,128,993,Absa Bank Ghana
FIN-1128,3508,GHA-0007635509-8,5802703524,129,313,Ecobank Ghana
FIN-1129,8164,GHA-6411930802-5,757358510428,130,1305,Ecobank Ghana
FIN-1130,4898,GHA-7726511163-2,779707940098,131,1462,Republic Bank Ghana
FIN-1131,9548,GHA-9502325401-6,642261032076,132,2594,Absa Bank Ghana
FIN-1132,7252,GHA-6804109590-1,785884012343,133,2301,CalBank
FIN-1133,13794,GHA-7189712810-5,316313079250,134,1743,First Atlantic Bank
FIN-1134,3151,GHA-1428192757-1,2358390006845,135,1512,Access Bank Ghana
FIN-1135,2551,GHA-2593548730-0,250359749107,136,2179,Republic Bank Ghana
FIN-1136,12717,GHA-5158570285-0,19301067281,137,913,Stanbic Bank Ghana
FIN-1137,11543,GHA-0310085062-5,396832907842,138,470,GCB Bank
FIN-1138,8903,GHA-1291130426-8,19878763113,139,301,Access Bank Ghana
FIN-1139,3857,GHA-6545359714-0,2931015984807,140,2264,Access Bank Ghana
FIN-1140,2720,GHA-7023237454-2,8189604552457,141,1355,Access Bank Ghana
FIN-1141,10754,GHA-5478027023-6,052180135175,142,2748,Stanbic Bank Ghana
FIN-1142,6176,GHA-6058519933-2,45252140659,143,1427,Fidelity Bank Ghana
FIN-1143,9967,GHA-1366833341-0,0346466955,144,528,Absa Bank Ghana
FIN-1144,10395,GHA-4733586311-5,713239714540,145,1329,Fidelity Bank Ghana
FIN-1145,13552,GHA-9765075986-9,343304885953,146,2848,First Atlantic Bank
FIN-1146,9010,GHA-3370807652-7,048693963697,147,2398,Absa Bank Ghana
