employee_id,employee_name,department,position,basic_salary,allowances,total_compensation,avg_performance_score,total_projects_completed,avg_training_hours,avg_attendance_rate,productivity_segment
6389,"Noah Isaac Mensah","Human Resources Department",Executive,2829.00,1956.00,4785.00,4.90,29,79.60,92.56,"High productivity / strong attendance"
2636,"Noah Mateo Mateo Khan","Operations Department",Analyst,10097.00,2096.00,12193.00,4.85,21,60.00,90.37,"High productivity / strong attendance"
26745,"Lina Mia Smith","Product Management Department",Consultant,7867.00,796.00,8663.00,4.84,23,72.00,91.57,"High productivity / strong attendance"
19800,"Lina Chen Ivanov","Product Management Department",Developer,4071.00,2942.00,7013.00,4.83,30,78.00,94.63,"High productivity / strong attendance"
16823,"Luca Wei Brown","Customer Support Department",Manager,11864.00,1536.00,13400.00,4.81,27,40.00,92.21,"High productivity / strong attendance"
24055,"Omar Michael Carlos Badu","Human Resources Department",Analyst,10225.00,1981.00,12206.00,4.81,22,41.80,94.75,"High productivity / strong attendance"
12675,"Maria Ananya Ivanov","Data and Analytics Department",Manager,5468.00,691.00,6159.00,4.81,37,43.00,92.82,"High productivity / strong attendance"
19253,"Olivia Victoria Aisha Schmidt","Human Resources Department",Executive,9602.00,1578.00,11180.00,4.80,28,32.20,94.74,"High productivity / strong attendance"
26362,"Noah Kwame Kojo Rossi","Product Management Department",Executive,5314.00,556.00,5870.00,4.80,17,27.60,93.00,"High productivity / strong attendance"
12266,"Olivia Hannah Akosua Williams","Operations Department",Consultant,2507.00,1937.00,4444.00,4.80,27,34.00,93.37,"High productivity / strong attendance"
18935,"Sakura Sakura Osei","Engineering Department",Consultant,14601.00,2928.00,17529.00,4.79,21,30.20,94.63,"High productivity / strong attendance"
25299,"Mateo Kwame Andres Okafor","Customer Support Department",Assistant,14251.00,507.00,14758.00,4.79,37,65.40,94.64,"High productivity / strong attendance"
24971,"Akosua Isabella Olivia Patel","Engineering Department",Consultant,12062.00,663.00,12725.00,4.79,24,55.20,91.08,"High productivity / strong attendance"
21188,"David Nathan Isaac Boateng","Engineering Department",Consultant,5980.00,901.00,6881.00,4.79,14,61.20,95.00,"High productivity / strong attendance"
5019,"Fatima Adwoa Williams","Product Management Department",Developer,4015.00,2258.00,6273.00,4.79,23,67.40,89.62,Monitor
16411,"Sophia Naomi Kim","Data and Analytics Department",Manager,13736.00,2120.00,15856.00,4.78,23,37.40,94.39,"High productivity / strong attendance"
8367,"Omar Carlos Patel","Operations Department",Executive,10745.00,1578.00,12323.00,4.78,35,27.20,91.94,"High productivity / strong attendance"
26296,"Samuel Alexander Ivanov","Product Management Department",Assistant,11149.00,611.00,11760.00,4.78,29,65.60,89.45,Monitor
